,path,source,actor,gender,emotion,emotion_lb
0,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-01-01-01.wav,Ravdess,1,male,1,neutral
1,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-01-02-01.wav,Ravdess,1,male,1,neutral
2,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-02-01-01.wav,Ravdess,1,male,1,neutral
3,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-02-01-01.wav,Ravdess,1,male,2,calm
4,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-01-01-01.wav,Ravdess,1,male,2,calm
5,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-02-02-01.wav,Ravdess,1,male,1,neutral
6,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-01-02-01.wav,Ravdess,1,male,2,calm
7,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-02-02-01.wav,Ravdess,1,male,2,calm
8,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-01-02-01.wav,Ravdess,1,male,2,calm
9,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-01-01-01.wav,Ravdess,1,male,2,calm
10,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-02-02-01.wav,Ravdess,1,male,2,calm
11,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-02-01-01.wav,Ravdess,1,male,2,calm
12,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-01-01-01.wav,Ravdess,1,male,3,happy
13,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-02-02-01.wav,Ravdess,1,male,3,happy
14,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-01-01-01.wav,Ravdess,1,male,3,happy
15,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-01-02-01.wav,Ravdess,1,male,3,happy
16,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-01-02-01.wav,Ravdess,1,male,3,happy
17,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-02-01-01.wav,Ravdess,1,male,3,happy
18,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-01-02-02-01.wav,Ravdess,1,male,4,sad
19,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-01-02-01-01.wav,Ravdess,1,male,4,sad
20,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-02-01-01-01.wav,Ravdess,1,male,4,sad
21,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-01-01-02-01.wav,Ravdess,1,male,4,sad
22,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-02-01-01.wav,Ravdess,1,male,3,happy
23,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-02-02-01.wav,Ravdess,1,male,3,happy
24,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-01-01-01-01.wav,Ravdess,1,male,4,sad
25,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-01-01-01.wav,Ravdess,1,male,5,angry
26,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-02-01-02-01.wav,Ravdess,1,male,4,sad
27,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-02-02-02-01.wav,Ravdess,1,male,4,sad
28,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-02-02-01-01.wav,Ravdess,1,male,4,sad
