,path,source,actor,gender,emotion,emotion_lb,split
0,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-01-01-01.wav,Ravdess,1,male,1,male_neutral,Train
1,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-01-02-01.wav,Ravdess,1,male,1,male_neutral,Train
2,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-02-01-01.wav,Ravdess,1,male,1,male_neutral,Train
3,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-02-01-01.wav,Ravdess,1,male,2,male_calm,Train
4,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-01-01-01.wav,Ravdess,1,male,2,male_calm,Train
5,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-01-01-02-02-01.wav,Ravdess,1,male,1,male_neutral,Train
6,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-01-02-01.wav,Ravdess,1,male,2,male_calm,Train
7,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-01-02-02-01.wav,Ravdess,1,male,2,male_calm,Train
8,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-01-02-01.wav,Ravdess,1,male,2,male_calm,Train
9,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-01-01-01.wav,Ravdess,1,male,2,male_calm,Train
10,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-02-02-01.wav,Ravdess,1,male,2,male_calm,Train
11,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-02-02-02-01-01.wav,Ravdess,1,male,2,male_calm,Train
12,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-01-01-01.wav,Ravdess,1,male,3,male_happy,Train
13,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-02-02-01.wav,Ravdess,1,male,3,male_happy,Train
14,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-01-01-01.wav,Ravdess,1,male,3,male_happy,Train
15,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-01-02-01.wav,Ravdess,1,male,3,male_happy,Train
16,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-01-02-01.wav,Ravdess,1,male,3,male_happy,Train
17,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-01-02-01-01.wav,Ravdess,1,male,3,male_happy,Train
20,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-02-01-01-01.wav,Ravdess,1,male,4,male_sad,Train
22,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-02-01-01.wav,Ravdess,1,male,3,male_happy,Train
23,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-03-02-02-02-01.wav,Ravdess,1,male,3,male_happy,Train
24,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-04-01-01-01-01.wav,Ravdess,1,male,4,male_sad,Train
25,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-01-01-01.wav,Ravdess,1,male,5,male_angry,Train
29,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-01-02-01.wav,Ravdess,1,male,8,male_surprised,Train
31,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-02-02-01-01.wav,Ravdess,1,male,5,male_angry,Train
34,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-02-01-01.wav,Ravdess,1,male,8,male_surprised,Train
36,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-01-01-01.wav,Ravdess,1,male,8,male_surprised,Train
38,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-02-02-01.wav,Ravdess,1,male,6,male_fearful,Train
50,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-01-01-01.wav,Ravdess,1,male,8,male_surprised,Train
51,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-02-02-01.wav,Ravdess,1,male,8,male_surprised,Train
52,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-01-02-01.wav,Ravdess,1,male,8,male_surprised,Train
53,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-01-02-02-01.wav,Ravdess,1,male,8,male_surprised,Train
55,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-05-01-01-02-01.wav,Ravdess,1,male,5,male_angry,Train
56,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-08-02-02-01-01.wav,Ravdess,1,male,8,male_surprised,Train
57,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_01/03-01-06-02-02-01-01.wav,Ravdess,1,male,6,male_fearful,Train
60,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-02-01-02.wav,Ravdess,2,female,2,female_calm,Train
61,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-01-02-02.wav,Ravdess,2,female,2,female_calm,Train
62,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-01-02-02.wav,Ravdess,2,female,2,female_calm,Train
63,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-02-01-01-02.wav,Ravdess,2,female,2,female_calm,Train
64,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-01-02-02.wav,Ravdess,2,female,1,female_neutral,Train
65,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-02-01-02.wav,Ravdess,2,female,1,female_neutral,Train
66,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-02-01-02.wav,Ravdess,2,female,2,female_calm,Train
67,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-02-02-02.wav,Ravdess,2,female,2,female_calm,Train
68,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-02-01-01-01-02.wav,Ravdess,2,female,2,female_calm,Train
69,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-01-01-02.wav,Ravdess,2,female,1,female_neutral,Train
70,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-01-01-02-02-02.wav,Ravdess,2,female,1,female_neutral,Train
71,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-02-01-01-02.wav,Ravdess,2,female,5,female_angry,Train
75,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_02/03-01-05-01-02-01-02.wav,Ravdess,2,female,5,female_angry,Train
